Hotel Name,Location,Price,Rating,Discount Percentage,City
Hotel Atithi,"Paldi, Ahmedabad","₹ 4,402",2.5,9% off,Ahmedabad
Hotel Rajvansh,Ahmedabad,"₹ 4,933",2.5,13% off,Ahmedabad
Hotel Progressive Inn,"Saraspur, Ahmedabad","₹ 2,570",2.5,27% off,Ahmedabad
Hotel Netra Palace,"Paldi, Ahmedabad","₹ 5,327",4.2,13% off,Ahmedabad
Hotel Neelkanth Palace Vastral,"Vastral, Ahmedabad",₹ 506,2.5,16% off,Ahmedabad
Hotel Neel Kanth Palace,Ahmedabad,"₹ 2,542",2.5,15% off,Ahmedabad
Hotel Mony,Ahmedabad,"₹ 1,602",2.5,16% off,Ahmedabad
Hotel Meghdeep,Ahmedabad,₹ 654,2.5,18% off,Ahmedabad
Hotel Mansarovar,"Maninagar, Ahmedabad","₹ 2,354",2.5,22% off,Ahmedabad
Hotel Manila,Ahmedabad,"₹ 2,747",2.5,22% off,Ahmedabad
Hotel Krishna Palace AHMEDABAD,"Naroda G.i.dc, Ahmedabad","₹ 1,063",2.5,15% off,Ahmedabad
Hotel Kamran Palace,"Relief Road, Ahmedabad","₹ 4,708",2.5,22% off,Ahmedabad
Hotel Jasraj,"Shahibaug, Ahmedabad","₹ 1,009",2.5,16% off,Ahmedabad
Hotel Grand Unity,"Changodar, Ahmedabad","₹ 1,652",4.1,17% off,Ahmedabad
Hotel Dreamland,"Sardar Patel Ring Road, Ahmedabad","₹ 2,197",2.5,22% off,Ahmedabad
Hotel Dimple International,"Station Road, Ahmedabad","₹ 1,177",2.5,22% off,Ahmedabad
Hotel Deluxe,"Relief Road, Ahmedabad",₹ 914,2.5,24% off,Ahmedabad
Hotel City Plaza,"Relief Road, Ahmedabad","₹ 4,896",4.0,13% off,Ahmedabad
Hotel City Inn,"Relief Road, Ahmedabad","₹ 2,180",4.1,22% off,Ahmedabad
Hotel Chirag Palace,"Station Road, Ahmedabad","₹ 2,484",2.5,17% off,Ahmedabad
Hotel Bhagyoday,"Sarkhej Gandhinagar Highway, Ahmedabad","₹ 1,806",2.5,21% off,Ahmedabad
Hotel Bhagya,Ahmedabad,"₹ 8,339",2.5,24% off,Ahmedabad
Hotel Allok Inn,Ahmedabad,"₹ 5,003",2.5,13% off,Ahmedabad
Hotel Adeshwar Gold AHMEDABAD,Ahmedabad,"₹ 3,313",2.5,17% off,Ahmedabad
Dashmesh Hotel,Ahmedabad,"₹ 4,979",2.5,13% off,Ahmedabad
Atithi Gokul Club and Hotel,Ahmedabad,"₹ 5,049",2.5,13% off,Ahmedabad
Anjali Palace,"Chandkheda, Ahmedabad","₹ 1,200",2.5,13% off,Ahmedabad
Spectrum Aatithya,"Prahlad Nagar, Ahmedabad","₹ 5,166",4.6,13% off,Ahmedabad
Hotel Royal Stay,"Bodakdev, Ahmedabad","₹ 4,897",2.5,18% off,Ahmedabad
Hotel Prime,"Relief Road, Ahmedabad","₹ 1,593",4.0,20% off,Ahmedabad
Hotel La Gloria,"Changodhar, Ahmedabad","₹ 3,247",2.5,15% off,Ahmedabad
Hotel Good Night,"Lal Darwaja, Ahmedabad","₹ 1,623",4.1,48% off,Ahmedabad
Hotel Deep Palace,Ahmedabad,"₹ 3,924",4.1,22% off,Ahmedabad
